sample	tcell_fraction_float
NWD100609	0.048697739
NWD101271	0.183981389
NWD101537	0.022955159
NWD102100	0.177429811
NWD102506	0.076361137
NWD102717	0.069578789
NWD103585	0.193932673
NWD103746	0.008603115
NWD104562	0.050098874
NWD104736	0.0646799
NWD106461	0.197168731
NWD106576	0.087108057
NWD106625	0.126261659
NWD108160	0.164284405
NWD108821	0.150869604
NWD109247	0.034298903
NWD109446	0.115971667
NWD110912	0.175284618
NWD110972	0.049324514
NWD111177	0.177566922
NWD111759	0.161224101
NWD113456	0.068345559
NWD113589	0.145861134
NWD114504	0.09166407
NWD114536	0
NWD114844	0.001004364
NWD115113	0.171181187
NWD115375	0
NWD115582	0.162053499
NWD116921	0.185231065
NWD117256	0.054841264
NWD117616	0.05346001
NWD117823	0.145624425
NWD117896	0.219757652
NWD118284	0.191002625
NWD118449	0.0668763
NWD119724	0.113909371
NWD120537	0.079688969
NWD121145	0.145255262
NWD121529	0.007662873
NWD122480	0
NWD122786	0.016642989
NWD123330	0.203504345
NWD124559	0.111150688
NWD126408	0.086256785
NWD127068	0.104170009
NWD127100	0.070126775
NWD127637	0.015498332
NWD127648	0.1295409
NWD127708	0
NWD129121	0.181708782
NWD129321	0.066970817
NWD129522	0.052329524
NWD129839	0.073566016
NWD130183	0.10232909
NWD131181	0.213178798
NWD131981	0.13665549
NWD133608	0.114889023
NWD133934	0.055243078
NWD134045	0.056750602
NWD134114	0.038780544
NWD134643	0.109882626
NWD135624	0.106586278
NWD136467	0.048217897
NWD137109	0.081577334
NWD137809	0.161939292
NWD137882	0.08609709
NWD138021	0.175686034
NWD138877	0.046882469
NWD139343	0.194287106
NWD140001	0.040672036
NWD142001	0.077081633
NWD142441	0
NWD143081	0.019065927
NWD143179	0.172075115
NWD143656	0.15551443
NWD143906	0.069547313
NWD144205	0.206264057
NWD144292	0.080637461
NWD144775	0.091877676
NWD144926	0.086148647
NWD144959	0.012706195
NWD145897	0.116571359
NWD146592	0.122409752
NWD146893	0.00620953
NWD146926	0.007959798
NWD146935	0.158379048
NWD150104	0.124433257
NWD150175	0.075806543
NWD150946	0.019210385
NWD151196	0.158855176
NWD151502	0.036666687
NWD151900	0.174237915
NWD153146	0.22585312
NWD153228	0.090229523
NWD153729	0.01372307
NWD154660	0.05925679
NWD155068	0
NWD158023	0.127024245
NWD159212	0.032461031
NWD159344	0.04113265
NWD159605	0.032687265
NWD159752	0.088780513
NWD159933	0.03045362
NWD160915	0.112785602
NWD161104	0.132230716
NWD161952	0.044718816
NWD162709	-4.44E-16
NWD163166	0.010699155
NWD163670	0.13808359
NWD166280	0.156416411
NWD166890	0.087614585
NWD168175	0
NWD168829	0.053903893
NWD168837	0.050996721
NWD169540	0.178517833
NWD169698	0.179679727
NWD169928	0.146717818
NWD170035	0.158400697
NWD170851	0.198819998
NWD171397	0.060429236
NWD173070	0.019406717
NWD173100	0.173029131
NWD173363	0.137838764
NWD174642	0.127528888
NWD174912	0.103746675
NWD176049	0.094750546
NWD176328	0.1026027
NWD177170	0.131451019
NWD177981	0
NWD178219	0.050321196
NWD178221	
NWD179464	0.217733234
NWD179563	0.046807433
NWD180218	0.16290715
NWD184396	0.156522496
NWD184586	0.072720492
NWD185158	0.058285151
NWD186126	0.148402767
NWD187760	0
NWD187789	0.004064451
NWD187795	0.162476493
NWD189180	0.128941774
NWD189562	0.066996813
NWD190445	0.069687961
NWD190862	0
NWD191507	0.084839489
NWD191797	0.065782143
NWD192934	0.133924153
NWD193128	0.093666668
NWD193691	0.03703617
NWD194719	0.106229524
NWD195068	0.037988405
NWD196059	0.104986439
NWD196919	0.060002857
NWD197405	0.092516995
NWD197704	0.0345686
NWD197735	0.146382069
NWD198940	0.096043165
NWD199381	0.034545188
NWD199565	0.042139781
NWD200469	0.155285292
NWD200582	0.02252749
NWD200802	0.066076016
NWD200828	0.024145045
NWD203524	0.226358021
NWD206011	0.027699612
NWD206048	0.068795126
NWD206167	0.17622872
NWD206534	0.100543816
NWD206581	0.026041855
NWD207728	0.107985076
NWD209111	0
NWD209127	0.153916928
NWD209163	0.166471764
NWD209381	0.17290752
NWD209503	0.111505371
NWD209688	0.066546953
NWD209791	0.068256248
NWD210514	0.116576374
NWD210714	-2.22E-16
NWD212146	0.045198588
NWD212201	0.068890914
NWD212332	0.121094315
NWD212768	0.064232071
NWD213757	0.145946603
NWD215567	0.105210022
NWD216161	0.099844461
NWD216796	0.04507218
NWD216806	0.037407753
NWD217846	1.11E-16
NWD218113	0.029660861
NWD218538	0.173461252
NWD220319	0.173585169
NWD220965	0.15756889
NWD221209	0.315004785
NWD221336	0.120700013
NWD221684	0.063740098
NWD222584	0.033332685
NWD222654	0.094971959
NWD223148	0.158822894
NWD226459	0.162783203
NWD226475	-2.22E-16
NWD226744	0.048343062
NWD227217	0.123561242
NWD227308	0.148160115
NWD227544	0.032814007
NWD227957	0.058098257
NWD230555	0.153396849
NWD230902	0
NWD231273	0
NWD231662	0.09445589
NWD232035	0.150143298
NWD232426	0.167826933
NWD232457	0.144222061
NWD232476	0.018220463
NWD232740	0.028637518
NWD232960	0.293509711
NWD233978	0.034848204
NWD234464	0
NWD234525	0.155936483
NWD234568	0.03307336
NWD234845	0.109902469
NWD235189	0.094506118
NWD235298	0.026152645
NWD235336	0.201182527
NWD235429	0.124744137
NWD237132	0.019471739
NWD237626	0.086491035
NWD238281	0.091484563
NWD239184	0.115728826
NWD239253	0
NWD241460	0.098366118
NWD241752	0.145516027
NWD241780	0.017629783
NWD241882	0.056416199
NWD242929	0.128928921
NWD243409	0.055458658
NWD243572	0
NWD243628	0.060112361
NWD244014	0
NWD244471	0.072101824
NWD245914	0.166909382
NWD246008	0.149206799
NWD246030	0.122088763
NWD246922	0.206150223
NWD247037	0.10657013
NWD247233	0.160928777
NWD247375	0.094787326
NWD248060	0.024305064
NWD248142	0.108705151
NWD248490	-2.22E-16
NWD248624	0.033585167
NWD248858	0.194513766
NWD249099	0.158766796
NWD249686	0.052374728
NWD250211	0.132009275
NWD251141	0.04122449
NWD251681	0.133250923
NWD252198	0.112151754
NWD252276	0.124410072
NWD252736	0.101229042
NWD253217	0.094532092
NWD254482	0.239918288
NWD255293	0.058094467
NWD256385	0.044974691
NWD256528	0.030931437
NWD256936	0.177348563
NWD257441	0.077267117
NWD258124	0.05765308
NWD259979	0.107026321
NWD260614	0.176174483
NWD260856	0.099598744
NWD261279	0.075334971
NWD262035	0.117862109
NWD262256	0.152946805
NWD262964	0.060123317
NWD262971	0.112708205
NWD263170	0.10476817
NWD263409	0
NWD263575	0.120925075
NWD263706	0.186961669
NWD263783	0.151973445
NWD264020	0.126322557
NWD264346	0.085745897
NWD264476	0
NWD264941	0.052753278
NWD265239	0.072322497
NWD265866	0
NWD266122	0.118235007
NWD266285	0.120546152
NWD268553	0.169117078
NWD269383	0.047841244
NWD269546	0
NWD269986	0.074772753
NWD270255	0
NWD271695	0.135657901
NWD271799	0.065927012
NWD272803	0.102868938
NWD273020	0.026493029
NWD273711	0.172460938
NWD273944	0.015170297
NWD274933	0.105968039
NWD275352	0.176993644
NWD275641	0.034995919
NWD275990	0.170034111
NWD276030	0.016674646
NWD277426	0.167802746
NWD278093	0
NWD278734	0.186087966
NWD279458	0.058014467
NWD279716	0.084224682
NWD279838	0.110106713
NWD281048	0.059747171
NWD281050	0.099186015
NWD281718	0.1536031
NWD281923	0.088503569
NWD281989	0
NWD282604	0.138337822
NWD283656	0.098375882
NWD283795	0
NWD284439	0.117615054
NWD284933	0
NWD285497	0
NWD288090	0.047817239
NWD289198	0.076842756
NWD290089	0.062470408
NWD290728	0.107801501
NWD291817	0.106309404
NWD291906	0.053536568
NWD291954	0.049349374
NWD292138	0.085682805
NWD292467	0.177265569
NWD292593	0.011232295
NWD293573	0.078519185
NWD294533	0
NWD295040	0.040936787
NWD295243	0.105707557
NWD295623	0.098937248
NWD295641	0.077847348
NWD295932	-4.44E-16
NWD296995	0.051329804
NWD297409	0.097522558
NWD297620	0.030706152
NWD298568	0.132806151
NWD298903	0.151085688
NWD299670	0.107646536
NWD300173	0.032710901
NWD301396	0.134652254
NWD301560	0.000690893
NWD301966	0.112913495
NWD303128	0.111135751
NWD303343	0.093898586
NWD304051	0.119820168
NWD304117	0.065816502
NWD304626	0
NWD304863	0.103987069
NWD305913	0.045639961
NWD306502	0.163919412
NWD306572	0.137659409
NWD306612	0.032021528
NWD307088	0.055081625
NWD307163	0.150289785
NWD307920	0.137126272
NWD308030	0.256658138
NWD308307	0.036131221
NWD308345	0.112958535
NWD308512	0.081528068
NWD308903	0.010335193
NWD309213	0.050357138
NWD309708	0.186442793
NWD310199	0.183026004
NWD310318	0.143724518
NWD310445	0.173298729
NWD310697	0.088990614
NWD310970	0.123170393
NWD311775	0.033695698
NWD312164	0.099598366
NWD312680	0.053689089
NWD313019	0.07290232
NWD313087	0.025368784
NWD313638	0.041145855
NWD314662	0.196804837
NWD315203	0.088213725
NWD315231	0
NWD315443	0.061637571
NWD316216	0.026706227
NWD316473	0.085557859
NWD317428	2.22E-16
NWD317724	0.125728225
NWD318828	0
NWD319375	0.127141816
NWD321055	2.22E-16
NWD324568	0.122319879
NWD325666	0.035002239
NWD325979	0.080857804
NWD326602	0.123306182
NWD327016	0
NWD327230	0.001613039
NWD327448	0.103862015
NWD327712	0.189392716
NWD327916	0.166967747
NWD328352	0.213541065
NWD328628	0.224410811
NWD329264	0.114000579
NWD331141	0.152223975
NWD331492	0.062795678
NWD332721	0.087984821
NWD332999	0.177737268
NWD333254	0.04095494
NWD333650	0.093147962
NWD333808	0.098614753
NWD334263	0.01690582
NWD334518	0.126666427
NWD334622	
NWD335884	0.13493274
NWD336111	0.081099525
NWD336493	0.131726519
NWD336850	0.049204029
NWD336940	0.050094537
NWD337133	0
NWD337441	0.177517593
NWD338031	0.120519278
NWD340026	0.066205348
NWD340316	0.164609677
NWD341306	0.001168319
NWD341662	0.075263187
NWD342173	0.167910107
NWD344956	0.153376673
NWD347683	0.059725274
NWD348587	0.198653066
NWD348608	0.147279187
NWD349104	0.112123836
NWD349253	0.122429743
NWD351030	0.131420244
NWD351327	0.052563292
NWD352909	0.154466605
NWD353559	0.182639538
NWD353703	0.099535304
NWD353742	0.051879082
NWD353869	0.083325049
NWD354006	0.095170213
NWD354349	0.060598366
NWD354463	0.09202773
NWD354703	0.025188956
NWD354783	0.09370578
NWD355411	-4.44E-16
NWD355932	0.101832932
NWD356412	0.071773757
NWD356946	0.103276018
NWD357212	0.088569351
NWD357593	0.127254861
NWD357706	0.234502067
NWD357786	0.231029162
NWD358025	0.136038267
NWD358339	0.011267751
NWD358926	0.148470085
NWD359245	0.049981958
NWD359279	0.140993882
NWD359359	0.090936028
NWD359444	0.22633958
NWD359954	0.089415049
NWD360005	0.046987527
NWD360052	0.16495041
NWD360216	0.172292672
NWD361294	0
NWD361497	0.061047136
NWD361679	0.11379581
NWD363491	0.159831642
NWD365770	0.183834659
NWD365853	0.063984342
NWD366527	0
NWD366605	0.025199977
NWD367104	0.001574198
NWD367109	0.168133204
NWD367660	0.035960693
NWD368192	0.153036301
NWD368344	0.054024293
NWD368802	0
NWD369185	0
NWD369280	0.038982376
NWD369295	0.048995049
NWD369588	0.185056595
NWD370554	0.092799268
NWD371649	0.019128098
NWD373512	0.092875777
NWD373656	-2.22E-16
NWD373883	0.011804998
NWD374749	0.063259003
NWD375775	0.070426321
NWD376076	0.045469346
NWD377290	0.040092548
NWD377861	0.133518844
NWD378070	0.126833509
NWD378161	1.11E-16
NWD378349	0.240771583
NWD378994	0.032398107
NWD379010	0.093478815
NWD379714	0
NWD380090	0.044097356
NWD381090	0.061230634
NWD382589	0.050181871
